sample_date,sample_id,k,no3_n,mg,ca,nh4_n,k_rolling,no3_n_rolling,mg_rolling,ca_rolling,nh4_n_rolling
1988-01-05,Q1,0.76,132,2.66,4.06,19,0.8063636363636364,160.72727272727272,1.9627272727272727,3.1336363636363638,26.636363636363633
1988-01-12,Q1,0.77,134,2.61,4.08,18,0.8058333333333333,159.75,2.026666666666667,3.2133333333333334,28.916666666666664
1988-01-19,Q1,0.75,125,2.67,4.16,21,0.8030769230769231,156.15384615384616,2.0761538461538462,3.276923076923077,28.230769230769234
1988-01-26,Q1,0.74,123,2.85,4.41,14,0.8064285714285714,155.85714285714286,2.137857142857143,3.3564285714285713,28.214285714285715
1988-01-29,Q1,0.86,77,1.48,2.4,21,0.8064285714285714,155.85714285714286,2.137857142857143,3.3564285714285713,28.214285714285715
1988-01-29,Q1,0.83,81,1.35,2.06,31,0.8064285714285714,155.85714285714286,2.137857142857143,3.3564285714285713,28.214285714285715
1988-01-29,Q1,0.91,281,1.64,2.65,27,0.8064285714285714,155.85714285714286,2.137857142857143,3.3564285714285713,28.214285714285715
1988-01-29,Q1,0.84,267,1.41,2.63,24,0.8064285714285714,155.85714285714286,2.137857142857143,3.3564285714285713,28.214285714285715
1988-01-29,Q1,0.86,242,1.59,2.67,21,0.8064285714285714,155.85714285714286,2.137857142857143,3.3564285714285713,28.214285714285715
1988-02-02,Q1,0.76,138,1.71,2.78,80,0.8066666666666666,155.06666666666666,2.1926666666666668,3.42,27.533333333333335
1988-02-02,Q1,0.79,168,1.62,2.57,17,0.8066666666666666,155.06666666666666,2.1926666666666668,3.42,27.533333333333335
1988-02-03,Q1,NA,NA,NA,NA,NA,0.8066666666666666,155.06666666666666,2.1926666666666668,3.42,27.533333333333335
1988-02-04,Q1,NA,NA,NA,NA,NA,0.8066666666666666,155.06666666666666,2.1926666666666668,3.42,27.533333333333335
1988-02-09,Q1,0.8,149,2.73,4.09,54,0.7893333333333333,155.86666666666667,2.1566666666666667,3.4086666666666665,27.933333333333334
1988-02-10,Q1,NA,NA,NA,NA,NA,0.7893333333333333,155.86666666666667,2.1566666666666667,3.4086666666666665,27.933333333333334
1988-02-16,Q1,0.77,113,2.67,4.04,20,0.7846666666666666,156.8,2.164,3.4046666666666665,29
1988-02-23,Q1,0.85,152,2.94,4.39,28,0.7833333333333333,158.06666666666666,2.17,3.397333333333333,28.466666666666665
1988-03-01,Q1,0.81,144,2.96,4.31,18,0.8911764705882353,204.8235294117647,1.9364705882352942,3.0741176470588236,23.64705882352941
1988-03-08,Q1,0.5,144,2.12,3.89,25,0.90125,206.9375,1.99375,3.10375,20.6875
1988-03-15,Q1,0.7,148,2.72,4.02,34,0.895625,206.4375,1.99625,3.111875,19.4375
1988-03-23,Q1,0.73,144,2.76,4.05,13,0.900625,208.75,1.99,3.098125,19.1875
1988-03-29,Q1,0.97,291,1.48,3.16,8,0.89375,208.125,1.985625,3.0925,19.1875
1988-03-29,Q1,1.13,283,1.47,3.22,7,0.89375,208.125,1.985625,3.0925,19.1875
1988-03-29,Q1,0.86,239,1.7,2.72,10,0.89375,208.125,1.985625,3.0925,19.1875
1988-03-29,Q1,1.07,291,1.09,1.31,20,0.89375,208.125,1.985625,3.0925,19.1875
1988-03-29,Q1,1.07,300,1.11,1.29,8,0.89375,208.125,1.985625,3.0925,19.1875
1988-03-29,Q1,1.17,261,1.49,3.7,13,0.89375,208.125,1.985625,3.0925,19.1875
1988-03-29,Q1,1.11,265,1.16,1.38,31,0.89375,208.125,1.985625,3.0925,19.1875
1988-03-29,Q1,1.06,252,1.19,1.34,16,0.89375,208.125,1.985625,3.0925,19.1875
1988-04-05,Q1,0.82,135,2.31,2.75,26,0.89,207.8125,1.976875,3.084375,22.125
1988-04-12,Q1,0.71,141,2.77,4.22,34,0.9488235294117647,207.41176470588235,1.9523529411764706,3.0376470588235294,24
1988-04-19,Q1,0.85,150,2.57,3.82,16,0.964375,207.41176470588235,1.858235294117647,2.867058823529412,35.94117647058823
1988-04-26,Q1,0.74,142,2.87,4.3,28,0.965625,207.70588235294116,1.7664705882352942,2.7076470588235293,38.88235294117648
1988-05-03,Q1,0.75,139,2.82,4.18,65,0.8788888888888888,150.5,2.191,3.1069999999999998,60.9
1988-05-10,Q1,1.19,142,2.24,3.6,69,0.8766666666666667,151.7,2.251,3.19,64.2
1988-05-10,Q1,NA,NA,NA,NA,NA,0.8766666666666667,151.7,2.251,3.19,64.2
1988-05-10,Q1,NA,NA,NA,NA,NA,0.8766666666666667,151.7,2.251,3.19,64.2
1988-05-10,Q1,NA,NA,NA,NA,NA,0.8766666666666667,151.7,2.251,3.19,64.2
